title,name,rarity,faction,element,stance,emblem,weapon_type,armor_type,hp,atk,def,release_date,obtain
作られし愛娘,ウェンディ,SSR,ペルディオン,無,フロント,衝撃,大剣,鎧,3492,1220,1312,2026-06-11,ピックアップガチャ
氷晶の魔法使い,ヴィーラ,SSR,ペルディオン,水,バック,情熱,杖,マント,,,,2026-06-11,ピックアップガチャ
太陽の踊り子,レヴィエーヌ,SSR,エルドラーナ,火,フロント,情熱,拳,鎧,2404,1460,1064,2026-06-18,ピックアップガチャ
雷撃の導き手,ディアーナ,SSR,千国連合,光,バック,衝撃,弓,マント,2808,1472,1160,2026-06-18,ピックアップガチャ
嵐を呼ぶ海賊娘,ルシータ,SSR,エルドラーナ,火,バック,情熱,銃,マント,3407,2107,995,2026-06-25,ピックアップガチャ
永久の慈愛,シラエス,SSR,千国連合,無,バック,衝撃,杖,マント,2612,1712,1076,2026-06-30,ピックアップガチャ
想いを燃やす恋の鬼,クレハ,SSR,千国連合,火,フロント,情熱,片手剣,鎧,3460,992,1644,2026-06-30,ピックアップガチャ
魂のドリルマイスター,グラディア,SSR,エルドラーナ,土,アシスト,情熱,ピッケル,服,2480,1540,1468,2026-07-05,ピックアップガチャ
快活！小悪魔ギャルちゃん,リエラ,SSR,千国連合,闇,バック,衝撃,銃,マント,,,,2026-07-10,ピックアップガチャ
純潔の精霊術師,フィオナ,SSR,エルドラーナ,水,バック,情熱,弓,マント,2836,1276,1004,2026-07-17,ピックアップガチャ
星詠みの占星術師,クリスティ,SSR,ペルディオン,闇,バック,衝撃,杖,マント,3196,1744,844,2026-07-17,ピックアップガチャ
忠義を尽くすケモミミ侍,コトノ,SSR,千国連合,土,フロント,情熱,大剣,鎧,5380,1524,1422,2026-07-24,ピックアップガチャ
天空海闊の自然児,【水着】クルル,SSR,千国連合,水,フロント,情熱,大剣,鎧,4859,1644,1358,2026-07-31,ピックアップガチャ
渚のメイド,【水着】ニナ,SSR,ペルディオン,無,バック,衝撃,弓,マント,3266,1912,1242,2026-07-31,ピックアップガチャ
夏色プレイ！,【水着】ホノカ,SSR,千国連合,火,バック,情熱,杖,マント,2880,1600,1056,2026-08-10,ピックアップガチャ
騎士道まっしぐら,ローザ,SR,ミレスガルド,光,フロント,衝撃,片手剣,鎧,2556,748,1152,2026-06-11,ガチャ(恒常)・N1-10クリア報酬
メスガキ魔法使い,ベリサ,SR,ペルディオン,火,バック,情熱,杖,マント,2172,1176,772,2026-06-11,ガチャ(恒常)
何でも売ってる旅商人,マリナ,SR,エルドラーナ,水,アシスト,情熱,ピッケル,作業着,2240,960,960,2026-06-11,ガチャ(恒常)
元（？）盗賊の採掘娘,ダリア,SR,千国連合,闇,アシスト,衝撃,ピッケル,作業着,2240,960,816,2026-06-11,ガチャ(恒常)
新人新聞記者,エメルダ,SR,エルドラーナ,闇,バック,衝撃,弓,マント,1864,1220,768,2026-06-11,ガチャ(恒常)
品行方正なビキニ兵士,カーラ,SR,エルドラーナ,水,フロント,情熱,片手剣,鎧,2060,1068,864,2026-06-11,ガチャ(恒常)
騎士国の忠犬,ライム,SR,ミレスガルド,光,バック,衝撃,銃,マント,1784,1412,740,2026-06-11,ガチャ(恒常)
清廉なる淑女,マーガレット,SR,ミレスガルド,無,バック,衝撃,魔導書,マント,1800,1100,1040,2026-06-11,ガチャ(恒常)
嫣然の暗殺者,アヤメ,SR,千国連合,闇,バック,衝撃,銃,マント,2256,1412,632,2026-06-11,ガチャ(恒常)
半なまの英雄,ヘイリー,SR,千国連合,無,フロント,衝撃,大剣,鎧,2912,728,1164,2026-06-11,ガチャ(恒常)・N2-10クリア報酬
紅玉老星,ジェンマ,SR,ペルディオン,土,アシスト,情熱,ピッケル,作業着,2240,1040,840,2026-06-11,ガチャ(恒常)
魔法学校落第生,イオラ,SR,ペルディオン,火,フロント,情熱,拳,鎧,2148,720,1040,2026-06-11,ガチャ(恒常)
白雷の騎士生徒会長,ソフィア,SR,ミレスガルド,光,フロント,衝撃,片手剣,鎧,2884,676,1112,2026-06-11,ガチャ(恒常)
疾風怒濤の自然児,クルル,SR,千国連合,土,フロント,情熱,拳,鎧,2000,864,920,2026-06-11,ガチャ(恒常)・N2-4クリア報酬
望郷の令和少女,ヒマリ,SR,ルクスノヴァ,闇,バック,衝撃,銃,マント,3168,1640,952,2026-06-11,ガチャ(恒常)・N4-6クリア報酬
黒き翼の召喚士,アイシャ,SR,千国連合,無,バック,衝撃,杖,マント,2092,1140,784,2026-07-10,ガチャ(恒常)・N7-6クリア報酬
超可愛的暴力少女,シャオレイ,R,千国連合,無,フロント,衝撃,拳,鎧,1852,792,720,2026-06-11,ガチャ(恒常)
秘密を抱く聖職者,ノエミ,R,エルドラーナ,土,バック,情熱,魔導書,マント,2400,720,740,2026-06-11,ガチャ(恒常)
桃色の一閃,ルカ,R,エルドラーナ,光,フロント,衝撃,拳,鎧,1852,828,720,2026-06-11,ガチャ(恒常)
雷光誘う天の巫女,ヤチヨ,R,千国連合,光,バック,衝撃,杖,マント,1708,1176,588,2026-06-11,ガチャ(恒常)
碩学の弓使い,エルミア,R,エルドラーナ,無,バック,衝撃,弓,マント,1788,1108,616,2026-06-11,ガチャ(恒常)
見通す者,メレム,R,千国連合,水,バック,情熱,魔導書,マント,1760,960,720,2026-06-11,ガチャ(恒常)
恵体の不良警官,セレスト,R,ミレスガルド,水,フロント,情熱,大剣,鎧,1748,872,852,2026-06-11,ガチャ(恒常)
姫騎士オタクの黒魔導士,クロエ,R,ミレスガルド,闇,バック,衝撃,杖,マント,1748,1016,700,2026-06-11,ガチャ(恒常)
若き工兵隊長,ベティ,R,ミレスガルド,火,アシスト,情熱,ピッケル,作業着,1120,1504,536,2026-06-11,ガチャ(恒常)
賑やかな死人,フェイリン,R,千国連合,闇,フロント,衝撃,大剣,鎧,2188,768,876,2026-06-11,ガチャ(恒常)
早撃ち魔法使い,シェリル,R,ペルディオン,火,バック,情熱,銃,マント,1520,1424,664,2026-06-11,ガチャ(恒常)
金色の狙撃手,シャノン,R,エルドラーナ,土,バック,情熱,銃,マント,1836,1240,532,2026-06-11,ガチャ(恒常)
火花散る剣技,フレイヤ,R,ミレスガルド,火,フロント,情熱,片手剣,鎧,2052,752,940,2026-06-11,ガチャ(恒常)
繚乱の盾,リタ,R,ペルディオン,土,フロント,情熱,片手剣,鎧,2216,612,1036,2026-06-11,ガチャ(恒常)
宝石の魔女,スティーラ,R,ペルディオン,無,アシスト,衝撃,ピッケル,作業着,1844,744,1020,2026-06-11,ガチャ(恒常)
煌めきの打ち手,テルー,R,ペルディオン,水,バック,情熱,弓,マント,1756,848,812,2026-06-11,ガチャ(恒常)
