name,rarity,faction,kind,mark,param1,bonus_pct,note
【何でも売ってる旅商人】マリナ,SR,エルドラーナ,buff_good,,,20,
【元（？）盗賊の採掘娘】ダリア,SR,千国連合,grant_faction,接客,2,10,
【新人新聞記者】エメルダ,SR,エルドラーナ,next_card,ドリンク,,5,
【品行方正なビキニ兵士】カーラ,SR,エルドラーナ,grant_faction,接客,2,10,
【騎士国の忠犬】ライム,SR,ミレスガルド,grant_faction,ドリンク,2,10,
【清廉なる淑女】マーガレット,SR,ミレスガルド,grant_faction,ドリンク,2,10,
【嫣然の暗殺者】アヤメ,SR,千国連合,grant_faction,ドリンク,2,10,
【半なまの英雄】ヘイリー,SR,千国連合,grant_faction,料理,2,10,
【紅玉老星】ジェンマ,SR,ペルディオン,grant_faction,ドリンク,2,10,
【魔法学校落第生】イオラ,SR,ペルディオン,buff_good,,,20,
【白雷の騎士生徒会長】ソフィア,SR,ミレスガルド,next_card,接客,,5,
【疾風怒濤の自然児】クルル,SR,千国連合,buff_good,,,20,
【望郷の令和少女】ヒマリ,SR,ルクスノヴァ,buff_all,,,10,
【黒き翼の召喚士】アイシャ,SR,千国連合,next_card,料理,,5,
【超可愛的暴力少女】シャオレイ,R,千国連合,grant_faction,料理,1,0,
【秘密を抱く聖職者】ノエミ,R,エルドラーナ,grant_faction,接客,1,0,
【桃色の一閃】ルカ,R,エルドラーナ,grant_faction,ドリンク,1,0,
【雷光誘う天の巫女】ヤチヨ,R,千国連合,grant_faction,ドリンク,1,0,
【碩学の弓使い】エルミア,R,エルドラーナ,grant_faction,料理,1,0,
【見通す者】メレム,R,千国連合,grant_faction,接客,1,0,
【恵体の不良警官】セレスト,R,ミレスガルド,grant_faction,ドリンク,1,0,
【姫騎士オタクの黒魔導士】クロエ,R,ミレスガルド,grant_faction,接客,1,0,
【若き工兵隊長】ベティ,R,ミレスガルド,grant_faction,料理,1,0,
【賑やかな死人】フェイリン,R,千国連合,next_card,料理,,0,最終ターン無効
【早撃ち魔法使い】シェリル,R,ペルディオン,grant_faction,接客,1,0,
【金色の狙撃手】シャノン,R,エルドラーナ,next_card,ドリンク,,0,最終ターン無効
【火花散る剣技】フレイヤ,R,ミレスガルド,next_card,料理,,0,最終ターン無効
【繚乱の盾】リタ,R,ペルディオン,grant_faction,ドリンク,1,0,
【宝石の魔女】スティーラ,R,ペルディオン,grant_faction,料理,1,0,
【煌めきの打ち手】テルー,R,ペルディオン,grant_faction,料理,1,0,
